PC: 8001ff00 | Instr: 01989793 | rs1_d: b6fab7fb | rs2_d: 00000000 | alu_res: f6000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: b6fab7fb | mscratch: 00000000
PC: 8001ff04 | Instr: 0078d913 | rs1_d: b6fab7fb | rs2_d: 00000000 | alu_res: 016df56f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: b6fab7fb | mscratch: 00000000
PC: 8001ff08 | Instr: 00f96933 | rs1_d: 016df56f | rs2_d: f6000000 | alu_res: f76df56f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 016df56f | mscratch: 00000000
PC: 8001ff0c | Instr: 01991793 | rs1_d: f76df56f | rs2_d: 00000000 | alu_res: de000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: f76df56f | mscratch: 00000000
PC: 8001ff10 | Instr: 00795993 | rs1_d: f76df56f | rs2_d: 00000000 | alu_res: 01eedbea | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: f76df56f | mscratch: 00000000
PC: 8001ff14 | Instr: 00f9e9b3 | rs1_d: 01eedbea | rs2_d: de000000 | alu_res: dfeedbea | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01eedbea | mscratch: 00000000
PC: 8001ff18 | Instr: 01999793 | rs1_d: dfeedbea | rs2_d: 00000000 | alu_res: d4000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: dfeedbea | mscratch: 00000000
PC: 8001ff1c | Instr: 0079da13 | rs1_d: dfeedbea | rs2_d: 00000000 | alu_res: 01bfddb7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: dfeedbea | mscratch: 00000000
PC: 8001ff20 | Instr: 00fa6a33 | rs1_d: 01bfddb7 | rs2_d: d4000000 | alu_res: d5bfddb7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01bfddb7 | mscratch: 00000000
PC: 8001ff24 | Instr: 019a1793 | rs1_d: d5bfddb7 | rs2_d: 00000000 | alu_res: 6e000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: d5bfddb7 | mscratch: 00000000
PC: 8001ff28 | Instr: 007a5a93 | rs1_d: d5bfddb7 | rs2_d: 00000000 | alu_res: 01ab7fbb | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: d5bfddb7 | mscratch: 00000000
PC: 8001ff2c | Instr: 00faeab3 | rs1_d: 01ab7fbb | rs2_d: 6e000000 | alu_res: 6fab7fbb | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01ab7fbb | mscratch: 00000000
PC: 8001ff30 | Instr: 019a9793 | rs1_d: 6fab7fbb | rs2_d: 00000000 | alu_res: 76000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 6fab7fbb | mscratch: 00000000
PC: 8001ff34 | Instr: 007adb13 | rs1_d: 6fab7fbb | rs2_d: 00000000 | alu_res: 00df56ff | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 6fab7fbb | mscratch: 00000000
PC: 8001ff38 | Instr: 00fb6b33 | rs1_d: 00df56ff | rs2_d: 76000000 | alu_res: 76df56ff | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00df56ff | mscratch: 00000000
PC: 8001ff3c | Instr: 019b1793 | rs1_d: 76df56ff | rs2_d: 00000000 | alu_res: fe000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 76df56ff | mscratch: 00000000
PC: 8001ff40 | Instr: 007b5b93 | rs1_d: 76df56ff | rs2_d: 00000000 | alu_res: 00edbead | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 76df56ff | mscratch: 00000000
PC: 8001ff44 | Instr: 00fbebb3 | rs1_d: 00edbead | rs2_d: fe000000 | alu_res: feedbead | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00edbead | mscratch: 00000000
