PC: 80007360 | Instr: 01989793 | rs1_d: b6fab7fb | rs2_d: 00000000 | alu_res: f6000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: b6fab7fb | mscratch: 00000000
PC: 80007364 | Instr: 0078d913 | rs1_d: b6fab7fb | rs2_d: 00000000 | alu_res: 016df56f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: b6fab7fb | mscratch: 00000000
PC: 80007368 | Instr: 00f96933 | rs1_d: 016df56f | rs2_d: f6000000 | alu_res: f76df56f | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 016df56f | mscratch: 00000000
PC: 8000736c | Instr: 01991793 | rs1_d: f76df56f | rs2_d: 00000000 | alu_res: de000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: f76df56f | mscratch: 00000000
PC: 80007370 | Instr: 00795993 | rs1_d: f76df56f | rs2_d: 00000000 | alu_res: 01eedbea | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: f76df56f | mscratch: 00000000
PC: 80007374 | Instr: 00f9e9b3 | rs1_d: 01eedbea | rs2_d: de000000 | alu_res: dfeedbea | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01eedbea | mscratch: 00000000
PC: 80007378 | Instr: 01999793 | rs1_d: dfeedbea | rs2_d: 00000000 | alu_res: d4000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: dfeedbea | mscratch: 00000000
PC: 8000737c | Instr: 0079da13 | rs1_d: dfeedbea | rs2_d: 00000000 | alu_res: 01bfddb7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: dfeedbea | mscratch: 00000000
PC: 80007380 | Instr: 00fa6a33 | rs1_d: 01bfddb7 | rs2_d: d4000000 | alu_res: d5bfddb7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01bfddb7 | mscratch: 00000000
PC: 80007384 | Instr: 019a1793 | rs1_d: d5bfddb7 | rs2_d: 00000000 | alu_res: 6e000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: d5bfddb7 | mscratch: 00000000
