PC: 800036a0 | Instr: 00fa6a33 | rs1_d: 01bfddb7 | rs2_d: d4000000 | alu_res: d5bfddb7 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01bfddb7 | mscratch: 00000000
PC: 800036a4 | Instr: 019a1793 | rs1_d: d5bfddb7 | rs2_d: 00000000 | alu_res: 6e000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: d5bfddb7 | mscratch: 00000000
PC: 800036a8 | Instr: 007a5a93 | rs1_d: d5bfddb7 | rs2_d: 00000000 | alu_res: 01ab7fbb | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: d5bfddb7 | mscratch: 00000000
PC: 800036ac | Instr: 00faeab3 | rs1_d: 01ab7fbb | rs2_d: 6e000000 | alu_res: 6fab7fbb | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01ab7fbb | mscratch: 00000000
PC: 800036b0 | Instr: 019a9793 | rs1_d: 6fab7fbb | rs2_d: 00000000 | alu_res: 76000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 6fab7fbb | mscratch: 00000000
PC: 800036b4 | Instr: 007adb13 | rs1_d: 6fab7fbb | rs2_d: 00000000 | alu_res: 00df56ff | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 6fab7fbb | mscratch: 00000000
PC: 800036b8 | Instr: 00fb6b33 | rs1_d: 00df56ff | rs2_d: 76000000 | alu_res: 76df56ff | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00df56ff | mscratch: 00000000
PC: 800036bc | Instr: 019b1793 | rs1_d: 76df56ff | rs2_d: 00000000 | alu_res: fe000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 76df56ff | mscratch: 00000000
PC: 800036c0 | Instr: 007b5b93 | rs1_d: 76df56ff | rs2_d: 00000000 | alu_res: 00edbead | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 76df56ff | mscratch: 00000000
PC: 800036c4 | Instr: 00fbebb3 | rs1_d: 00edbead | rs2_d: fe000000 | alu_res: feedbead | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 00edbead | mscratch: 00000000
PC: 800036c8 | Instr: 019b9793 | rs1_d: feedbead | rs2_d: 00000000 | alu_res: 5a000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: feedbead | mscratch: 00000000
PC: 800036cc | Instr: 007bdc13 | rs1_d: feedbead | rs2_d: 00000000 | alu_res: 01fddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: feedbead | mscratch: 00000000
PC: 800036d0 | Instr: 00fc6c33 | rs1_d: 01fddb7d | rs2_d: 5a000000 | alu_res: 5bfddb7d | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01fddb7d | mscratch: 00000000
PC: 800036d4 | Instr: 019c1793 | rs1_d: 5bfddb7d | rs2_d: 00000000 | alu_res: fa000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: 5bfddb7d | mscratch: 00000000
PC: 800036d8 | Instr: 007c5c93 | rs1_d: 5bfddb7d | rs2_d: 00000000 | alu_res: 00b7fbb6 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: 5bfddb7d | mscratch: 00000000
